他, number_of_appearances:3630
快点, number_of_appearances:3
帮帮, number_of_appearances:1
怒吼, number_of_appearances:8
皮带, number_of_appearances:1
恳求, number_of_appearances:1
无一例外, number_of_appearances:1
避开, number_of_appearances:2
躲, number_of_appearances:6
蠢货, number_of_appearances:6
惩罚, number_of_appearances:12
到现在, number_of_appearances:7
哭声, number_of_appearances:1
火花, number_of_appearances:1
雷鸣, number_of_appearances:1
响声, number_of_appearances:2
阻隔, number_of_appearances:1
即将, number_of_appearances:22
得下, number_of_appearances:1
一推, number_of_appearances:2
近乎, number_of_appearances:4
窒息, number_of_appearances:5
呼喊, number_of_appearances:6
力量, number_of_appearances:7
迫使, number_of_appearances:6
宣判, number_of_appearances:1
顶住, number_of_appearances:2
门口, number_of_appearances:15
坚持, number_of_appearances:12
歪, number_of_appearances:1
挣开, number_of_appearances:1
随着, number_of_appearances:11
人类, number_of_appearances:7
横飞, number_of_appearances:3
唾液, number_of_appearances:1
所能, number_of_appearances:3
异类, number_of_appearances:1
尖锐, number_of_appearances:4
吼声, number_of_appearances:2
声带, number_of_appearances:1
撕, number_of_appearances:3
碎片, number_of_appearances:8
最后一秒, number_of_appearances:1
放逐, number_of_appearances:1
中关, number_of_appearances:2
闭, number_of_appearances:5
磨灭, number_of_appearances:1
要说, number_of_appearances:14
积, number_of_appearances:1
极地, number_of_appearances:1
新生活, number_of_appearances:3
一小部分, number_of_appearances:3
捕食, number_of_appearances:1
随心所欲, number_of_appearances:1
受害者, number_of_appearances:1
瞧不起, number_of_appearances:1
那样的, number_of_appearances:4
抽动, number_of_appearances:2
唾沫, number_of_appearances:3
重要性, number_of_appearances:1
结局, number_of_appearances:4
冷战, number_of_appearances:2
越多, number_of_appearances:7
曙光, number_of_appearances:1
升起, number_of_appearances:3
唤醒, number_of_appearances:8
打扰, number_of_appearances:2
持续, number_of_appearances:4
懒虫, number_of_appearances:1
早上好, number_of_appearances:1
几点了, number_of_appearances:2
七, number_of_appearances:2
睡懒觉, number_of_appearances:2
一骨碌, number_of_appearances:1
农夫, number_of_appearances:4
这么多, number_of_appearances:9
既然, number_of_appearances:4
盘, number_of_appearances:3
否, number_of_appearances:2
血淋淋, number_of_appearances:2
人像, number_of_appearances:1
联系, number_of_appearances:3
说不通, number_of_appearances:1
夜, number_of_appearances:14
理, number_of_appearances:1
干活, number_of_appearances:7
耕地, number_of_appearances:1
播种, number_of_appearances:2
扎, number_of_appearances:24
偷懒, number_of_appearances:1
叫醒, number_of_appearances:2
不怎么, number_of_appearances:1
热身, number_of_appearances:2
满不在乎, number_of_appearances:2
三次, number_of_appearances:3
令人不快, number_of_appearances:1
台阶, number_of_appearances:8
赞同, number_of_appearances:14
淡然, number_of_appearances:1
令人信服, number_of_appearances:1
谈及, number_of_appearances:1
凭空, number_of_appearances:3
转换, number_of_appearances:1
道歉, number_of_appearances:2
生来, number_of_appearances:1
精英, number_of_appearances:6
随手, number_of_appearances:1
犀利, number_of_appearances:2
几个月, number_of_appearances:2
前腿, number_of_appearances:1
以后, number_of_appearances:7
非, number_of_appearances:4
仍, number_of_appearances:5
一想, number_of_appearances:6
不寒而栗, number_of_appearances:5
能比, number_of_appearances:1
题为, number_of_appearances:1
杀人, number_of_appearances:4
反倒, number_of_appearances:2
不介意, number_of_appearances:2
洗耳恭听, number_of_appearances:1
正如, number_of_appearances:6
测试, number_of_appearances:30
智慧, number_of_appearances:3
好不好, number_of_appearances:1
机智, number_of_appearances:1
敏捷, number_of_appearances:1
决策者, number_of_appearances:1
懂得, number_of_appearances:4
值得, number_of_appearances:7
不计, number_of_appearances:1
胆小怕事, number_of_appearances:1
撑住, number_of_appearances:2
怀念, number_of_appearances:1
天意, number_of_appearances:1
不一样, number_of_appearances:10
规, number_of_appearances:1
划出, number_of_appearances:1
想办法, number_of_appearances:2
普通, number_of_appearances:2
犯上, number_of_appearances:1
恶毒, number_of_appearances:2
过夜, number_of_appearances:9
空间, number_of_appearances:5
不太明白, number_of_appearances:1
动机, number_of_appearances:1
催, number_of_appearances:1
无处不在, number_of_appearances:2
感兴趣, number_of_appearances:1
礼拜, number_of_appearances:1
认真, number_of_appearances:9
讲不通, number_of_appearances:1
发自, number_of_appearances:1
动力, number_of_appearances:1
目光如炬, number_of_appearances:1
别说, number_of_appearances:4
推荐, number_of_appearances:1
叠, number_of_appearances:3
卧具, number_of_appearances:1
成天, number_of_appearances:1
拔草, number_of_appearances:2
宿命, number_of_appearances:2
提议, number_of_appearances:5
急躁, number_of_appearances:2
瞎扯, number_of_appearances:1
不止, number_of_appearances:5
优秀, number_of_appearances:1
树立, number_of_appearances:2
忘, number_of_appearances:13
树敌, number_of_appearances:1
我去, number_of_appearances:4
上选, number_of_appearances:1
就算, number_of_appearances:14
冷酷无情, number_of_appearances:1
特长, number_of_appearances:2
浪费, number_of_appearances:15
威胁, number_of_appearances:7
胡说, number_of_appearances:2
趁, number_of_appearances:5
是以, number_of_appearances:1
取决于, number_of_appearances:3
按部就班, number_of_appearances:1
见识, number_of_appearances:2
说教, number_of_appearances:1
秩序, number_of_appearances:9
字眼, number_of_appearances:3
健全, number_of_appearances:1
不惜, number_of_appearances:4
维持, number_of_appearances:2
固执, number_of_appearances:3
交易, number_of_appearances:2
加进, number_of_appearances:1
潜在, number_of_appearances:1
受训者, number_of_appearances:1
名单, number_of_appearances:1
成交, number_of_appearances:2
烂, number_of_appearances:2
噎, number_of_appearances:1
臭名昭著, number_of_appearances:1
远远地, number_of_appearances:2
热火朝天, number_of_appearances:1
饥肠辘辘, number_of_appearances:2
大胡子, number_of_appearances:1
钻, number_of_appearances:2
体毛, number_of_appearances:1
毛囊, number_of_appearances:1
世界上, number_of_appearances:2
最爱, number_of_appearances:1
卫生, number_of_appearances:1
记下, number_of_appearances:5
一定要, number_of_appearances:9
饭菜, number_of_appearances:2
黑头, number_of_appearances:2
朝西, number_of_appearances:2
冷淡, number_of_appearances:1
组成部分, number_of_appearances:2
津津有味, number_of_appearances:1
送行, number_of_appearances:1
一小, number_of_appearances:3
讥讽, number_of_appearances:1
谢谢, number_of_appearances:10
新闻, number_of_appearances:1
给出, number_of_appearances:5
头绪, number_of_appearances:4
一上午, number_of_appearances:1
往死里, number_of_appearances:1
形容, number_of_appearances:2
隔绝, number_of_appearances:1
期间, number_of_appearances:1
挺, number_of_appearances:12
酸牛奶, number_of_appearances:1
寡言少语, number_of_appearances:1
独自, number_of_appearances:3
常青, number_of_appearances:1
藤绳, number_of_appearances:2
修剪, number_of_appearances:2
杏树, number_of_appearances:1
西葫芦, number_of_appearances:1
种子, number_of_appearances:4
蔬菜, number_of_appearances:3
主动, number_of_appearances:2
忽略, number_of_appearances:4
比不上, number_of_appearances:1
苗, number_of_appearances:1
问问, number_of_appearances:3
接触, number_of_appearances:4
埋头, number_of_appearances:1
无神, number_of_appearances:2
长脸, number_of_appearances:1
副, number_of_appearances:13
无聊, number_of_appearances:4
共有, number_of_appearances:3
装作, number_of_appearances:2
建筑工, number_of_appearances:5
厨子, number_of_appearances:4
承重, number_of_appearances:2
工种, number_of_appearances:2
不明就里, number_of_appearances:2
抗拒, number_of_appearances:1
做不了, number_of_appearances:4
厕所, number_of_appearances:1
洗澡, number_of_appearances:2
我向, number_of_appearances:3
怂, number_of_appearances:1
份, number_of_appearances:3
产生, number_of_appearances:8
大惊小怪, number_of_appearances:1
拔出, number_of_appearances:2
粗大, number_of_appearances:4
草, number_of_appearances:2
泥巴, number_of_appearances:1
忙活, number_of_appearances:1
体力, number_of_appearances:2
挖, number_of_appearances:2
沟渠, number_of_appearances:1
之类, number_of_appearances:5
理睬, number_of_appearances:1
越好, number_of_appearances:3
发问, number_of_appearances:3
死人, number_of_appearances:5
不是吗, number_of_appearances:6
有点, number_of_appearances:10
护卫, number_of_appearances:1
警察, number_of_appearances:2
过得, number_of_appearances:2
偷笑, number_of_appearances:2
心里, number_of_appearances:36
解答, number_of_appearances:1
幸好, number_of_appearances:9
遇上, number_of_appearances:2
突然间, number_of_appearances:1
跃进, number_of_appearances:1
脑海, number_of_appearances:11
并非如此, number_of_appearances:2
一团糟, number_of_appearances:1
长长地, number_of_appearances:3
埋头苦干, number_of_appearances:1
时分, number_of_appearances:3
腰, number_of_appearances:1
前进, number_of_appearances:10
这份, number_of_appearances:3
所谓, number_of_appearances:6
更是, number_of_appearances:3
差, number_of_appearances:4
荒唐, number_of_appearances:5
搁置, number_of_appearances:1
酸软, number_of_appearances:2
不在话下, number_of_appearances:1
不理, number_of_appearances:2
皱纹, number_of_appearances:3
不对劲, number_of_appearances:7
一模一样, number_of_appearances:3
特大, number_of_appearances:1
怪不得, number_of_appearances:3
行窃, number_of_appearances:1
捉, number_of_appearances:1
着急, number_of_appearances:2
为数不多, number_of_appearances:1
无意, number_of_appearances:1
冒犯, number_of_appearances:3
美妙, number_of_appearances:4
生物, number_of_appearances:4
答道, number_of_appearances:5
随即, number_of_appearances:2
发起, number_of_appearances:5
催促, number_of_appearances:4
少, number_of_appearances:2
酸涩, number_of_appearances:1
担忧, number_of_appearances:16
安危, number_of_appearances:3
拔, number_of_appearances:1
计时, number_of_appearances:1
时不时, number_of_appearances:4
密切, number_of_appearances:2
影响, number_of_appearances:4
本来, number_of_appearances:6
中午, number_of_appearances:5
充足, number_of_appearances:5
完了, number_of_appearances:14
满面, number_of_appearances:1
愁容, number_of_appearances:1
探险, number_of_appearances:1
遇到, number_of_appearances:2
严厉, number_of_appearances:1
点着, number_of_appearances:2
陷, number_of_appearances:3
灰黄, number_of_appearances:1
外派, number_of_appearances:1
分队, number_of_appearances:1
做法, number_of_appearances:3
严令禁止, number_of_appearances:1
导致, number_of_appearances:2
失踪, number_of_appearances:4
人数, number_of_appearances:4
毋庸置疑, number_of_appearances:2
久病, number_of_appearances:1
愈, number_of_appearances:1
有关, number_of_appearances:11
极其, number_of_appearances:3
且, number_of_appearances:11
深远, number_of_appearances:1
多想, number_of_appearances:6
本身, number_of_appearances:2
无关, number_of_appearances:1
手下, number_of_appearances:1
大餐, number_of_appearances:1
牛排, number_of_appearances:1
土豆泥, number_of_appearances:3
青豆, number_of_appearances:1
热, number_of_appearances:4
卷, number_of_appearances:2
烹饪, number_of_appearances:1
技术, number_of_appearances:2
平时, number_of_appearances:6
复生, number_of_appearances:1
餐, number_of_appearances:1
送往, number_of_appearances:1
地狱, number_of_appearances:1
魔鬼, number_of_appearances:2
为伍, number_of_appearances:1
按时, number_of_appearances:1
窜, number_of_appearances:2
看在眼里, number_of_appearances:1
吃掉, number_of_appearances:3
提供, number_of_appearances:9
未, number_of_appearances:6
归, number_of_appearances:2
心照不宣, number_of_appearances:1
遵守, number_of_appearances:4
受不了, number_of_appearances:4
往外, number_of_appearances:4
不出所料, number_of_appearances:1
紧随其后, number_of_appearances:7
血缘关系, number_of_appearances:1
感动, number_of_appearances:2
救援队, number_of_appearances:1
建议, number_of_appearances:12
紧闭, number_of_appearances:5
百分之百, number_of_appearances:2
违背, number_of_appearances:5
规定, number_of_appearances:13
不依不饶, number_of_appearances:2
灼烧, number_of_appearances:3
吼, number_of_appearances:17
不够, number_of_appearances:1
无异, number_of_appearances:2
赴死, number_of_appearances:1
傻蛋, number_of_appearances:21
要不, number_of_appearances:5
话说, number_of_appearances:5
誓, number_of_appearances:1
参加, number_of_appearances:2
守护, number_of_appearances:11
人选, number_of_appearances:3
中时, number_of_appearances:2
外出, number_of_appearances:1
绝对, number_of_appearances:21
迷路, number_of_appearances:2
他俩, number_of_appearances:10
也就是说, number_of_appearances:4
低垂, number_of_appearances:3
嘀咕, number_of_appearances:2
情势, number_of_appearances:1
严峻, number_of_appearances:3
应对, number_of_appearances:3
空荡荡, number_of_appearances:1
大坑, number_of_appearances:1
雪上加霜, number_of_appearances:4
一手, number_of_appearances:1
搭, number_of_appearances:2
辈子, number_of_appearances:5
夜色, number_of_appearances:2
写照, number_of_appearances:1
言简意赅, number_of_appearances:1
裹尸布, number_of_appearances:1
飘, number_of_appearances:10
肩, number_of_appearances:2
不熟, number_of_appearances:1
平地而起, number_of_appearances:1
中断, number_of_appearances:2
吱吱嘎嘎, number_of_appearances:1
土石, number_of_appearances:1
纷飞, number_of_appearances:1
排列, number_of_appearances:2
密密麻麻, number_of_appearances:2
排, number_of_appearances:6
怀着, number_of_appearances:2
常识, number_of_appearances:1
左侧, number_of_appearances:5
捕捉, number_of_appearances:2
起初, number_of_appearances:3
漫过, number_of_appearances:1
黑影, number_of_appearances:1
逐渐, number_of_appearances:5
形状, number_of_appearances:2
这边, number_of_appearances:7
疑云, number_of_appearances:1
气力, number_of_appearances:1
不足, number_of_appearances:1
虚脱, number_of_appearances:1
迈出, number_of_appearances:2
剧情, number_of_appearances:1
发怔, number_of_appearances:1
印, number_of_appearances:2
呼唤, number_of_appearances:3
立马, number_of_appearances:2
从民, number_of_appearances:3
滑落, number_of_appearances:2
着想, number_of_appearances:3
有用, number_of_appearances:7
索性, number_of_appearances:1
墙体, number_of_appearances:9
越, number_of_appearances:7
移, number_of_appearances:5
跛, number_of_appearances:3
步子, number_of_appearances:4
不幸, number_of_appearances:4
到此为止, number_of_appearances:3
呼喊声, number_of_appearances:4
急着, number_of_appearances:1
小洞, number_of_appearances:2
夜晚, number_of_appearances:13
震耳欲聋, number_of_appearances:2
别无选择, number_of_appearances:9
迈开, number_of_appearances:1
关头, number_of_appearances:1
底部, number_of_appearances:1
常青藤, number_of_appearances:5
巨石, number_of_appearances:2
久久, number_of_appearances:1
静止, number_of_appearances:3
合上, number_of_appearances:1
随之而来, number_of_appearances:1
黑纱, number_of_appearances:1
掩盖, number_of_appearances:2
天幕, number_of_appearances:1
夜色降临, number_of_appearances:1
碑石, number_of_appearances:1
巨人, number_of_appearances:1
建造, number_of_appearances:5
陵墓, number_of_appearances:1
藤, number_of_appearances:7
背, number_of_appearances:15
靠着, number_of_appearances:13
凄厉, number_of_appearances:2
赶忙, number_of_appearances:12
昏暗, number_of_appearances:6
惨状, number_of_appearances:1
大汗淋漓, number_of_appearances:1
一身, number_of_appearances:5
利器, number_of_appearances:1
割开, number_of_appearances:2
伤口, number_of_appearances:10
瘀青, number_of_appearances:3
不由自主, number_of_appearances:2
蠢蛋, number_of_appearances:1
差别, number_of_appearances:1
感激, number_of_appearances:3
白眼, number_of_appearances:5
定和, number_of_appearances:1
自杀, number_of_appearances:6
区别, number_of_appearances:1
随便, number_of_appearances:4
不用谢, number_of_appearances:1
帮帮忙, number_of_appearances:1
真想, number_of_appearances:4
挤出, number_of_appearances:3
苦涩, number_of_appearances:2
近距离, number_of_appearances:2
晕, number_of_appearances:2
形势, number_of_appearances:1
徘徊, number_of_appearances:1
黝黑, number_of_appearances:1
淡, number_of_appearances:3
放声, number_of_appearances:1
会死, number_of_appearances:14
日落, number_of_appearances:5
拿到, number_of_appearances:5
要不了, number_of_appearances:4
冷漠, number_of_appearances:5
消化, number_of_appearances:3
希, number_of_appearances:2
望都, number_of_appearances:1
消沉, number_of_appearances:2
气恼, number_of_appearances:2
通往, number_of_appearances:7
走道, number_of_appearances:8
说起, number_of_appearances:5
循声, number_of_appearances:1
母鸡, number_of_appearances:1
笨蛋, number_of_appearances:6
琢磨, number_of_appearances:2
出动, number_of_appearances:3
就此, number_of_appearances:5
一线希望, number_of_appearances:1
一共, number_of_appearances:1
关得, number_of_appearances:2
设在, number_of_appearances:1
惨死, number_of_appearances:1
过上, number_of_appearances:1
那双, number_of_appearances:5
脚丫, number_of_appearances:1
赶快, number_of_appearances:11
冲着, number_of_appearances:3
崩溃, number_of_appearances:8
别号, number_of_appearances:1
几近, number_of_appearances:2
墙门, number_of_appearances:2
起伏, number_of_appearances:4
汗水, number_of_appearances:7
浸湿, number_of_appearances:1
看得见, number_of_appearances:1
首先, number_of_appearances:8
胸, number_of_appearances:6
过手, number_of_appearances:1
说不上, number_of_appearances:1
道民, number_of_appearances:2
没有什么, number_of_appearances:4
没想到, number_of_appearances:4
数量, number_of_appearances:2
针头, number_of_appearances:2
我俩, number_of_appearances:16
弄死, number_of_appearances:2
针, number_of_appearances:3
难懂, number_of_appearances:2
具体, number_of_appearances:2
青藤, number_of_appearances:32
爬墙, number_of_appearances:2
笨, number_of_appearances:1
转化, number_of_appearances:1
说说话, number_of_appearances:1
衬衣, number_of_appearances:2
存, number_of_appearances:3
感情, number_of_appearances:2
生民, number_of_appearances:1
歉意, number_of_appearances:1
成长, number_of_appearances:3
劝, number_of_appearances:2
开动, number_of_appearances:1
脑筋, number_of_appearances:2
也好, number_of_appearances:2
暗黑, number_of_appearances:3
环, number_of_appearances:1
呼呼, number_of_appearances:5
每时每刻, number_of_appearances:3
增大, number_of_appearances:3
一串, number_of_appearances:2
毛骨悚然, number_of_appearances:6
指甲, number_of_appearances:1
哀鸣, number_of_appearances:2
四野, number_of_appearances:1
链条, number_of_appearances:2
重叠, number_of_appearances:1
眼里, number_of_appearances:8
活命, number_of_appearances:1
吞没, number_of_appearances:2
厌, number_of_appearances:2
恶感, number_of_appearances:2
资历, number_of_appearances:1
颇, number_of_appearances:1
天时, number_of_appearances:2
恐慌, number_of_appearances:2
势头, number_of_appearances:1
拔腿就跑, number_of_appearances:1
抛下, number_of_appearances:2
发动机, number_of_appearances:5
油污, number_of_appearances:2
老旧, number_of_appearances:1
工厂, number_of_appearances:1
起重, number_of_appearances:1
机上, number_of_appearances:1
咔, number_of_appearances:3
汽油, number_of_appearances:1
焦, number_of_appearances:1
猜, number_of_appearances:5
匆匆, number_of_appearances:4
一瞥, number_of_appearances:1
坐以待毙, number_of_appearances:2
转头, number_of_appearances:4
阴郁, number_of_appearances:9
扑通, number_of_appearances:4
前额, number_of_appearances:1
汗, number_of_appearances:4
眼睁睁, number_of_appearances:4
坏脾气, number_of_appearances:2
绕, number_of_appearances:5
奄奄一息, number_of_appearances:2
蹬腿, number_of_appearances:3
咬紧牙关, number_of_appearances:1
太重, number_of_appearances:3
摔, number_of_appearances:12
重重, number_of_appearances:5
逼近, number_of_appearances:6
和光, number_of_appearances:1
主人, number_of_appearances:2
艰难, number_of_appearances:8
坐好, number_of_appearances:2
绞尽脑汁, number_of_appearances:1
想不到, number_of_appearances:2
背着, number_of_appearances:2
不仅, number_of_appearances:3
详细, number_of_appearances:3
尽管如此, number_of_appearances:3
计划, number_of_appearances:30
能否, number_of_appearances:4
成功, number_of_appearances:18
为人, number_of_appearances:2
所知, number_of_appearances:1
强, number_of_appearances:1
没底, number_of_appearances:1
能想, number_of_appearances:3
手上, number_of_appearances:6
纸张, number_of_appearances:2
撕开, number_of_appearances:2
不见, number_of_appearances:4
植物, number_of_appearances:3
犹疑, number_of_appearances:1
试试看, number_of_appearances:2
心态, number_of_appearances:1
用上, number_of_appearances:2
双脚, number_of_appearances:12
腾空, number_of_appearances:1
飞去, number_of_appearances:2
编, number_of_appearances:3
攀岩, number_of_appearances:1
绳, number_of_appearances:1
鼓舞, number_of_appearances:6
破裂, number_of_appearances:2
撞击, number_of_appearances:6
没法, number_of_appearances:6
唯有, number_of_appearances:1
呼呼声, number_of_appearances:5
哐当, number_of_appearances:2
周遭, number_of_appearances:3
在附近, number_of_appearances:1
恐惧感, number_of_appearances:2
右臂, number_of_appearances:2
长度, number_of_appearances:1
绑, number_of_appearances:14
左臂, number_of_appearances:2
明知, number_of_appearances:1
咬牙, number_of_appearances:1
不完善, number_of_appearances:1
轮到, number_of_appearances:7
上爬, number_of_appearances:5
上方, number_of_appearances:6
粗厚, number_of_appearances:1
叶子, number_of_appearances:2
以便, number_of_appearances:3
攀登, number_of_appearances:1
忍不住, number_of_appearances:5
不可以, number_of_appearances:1
几米, number_of_appearances:2
腋下, number_of_appearances:1
下沉, number_of_appearances:2
蹬, number_of_appearances:7
牢牢, number_of_appearances:2
左腿, number_of_appearances:2
那根, number_of_appearances:1
松手, number_of_appearances:2
失败, number_of_appearances:9
右腿, number_of_appearances:4
粗气, number_of_appearances:3
悬, number_of_appearances:5
半空中, number_of_appearances:2
高度, number_of_appearances:5
嗡嗡声, number_of_appearances:2
咆哮声, number_of_appearances:1
正向, number_of_appearances:4
挪动, number_of_appearances:3
每次, number_of_appearances:4
抬高, number_of_appearances:1
下方, number_of_appearances:6
一点一点, number_of_appearances:2
一次又一次, number_of_appearances:2
升高, number_of_appearances:1
费力, number_of_appearances:3
打滑, number_of_appearances:1
老是, number_of_appearances:3
狭窄, number_of_appearances:4
石洞, number_of_appearances:1
不堪, number_of_appearances:1
之音, number_of_appearances:1
停手, number_of_appearances:1
任凭, number_of_appearances:1
荡, number_of_appearances:6
麻木, number_of_appearances:4
面向, number_of_appearances:4
言喻, number_of_appearances:2
疲惫感, number_of_appearances:1
疲倦, number_of_appearances:4
叫唤, number_of_appearances:2
困难, number_of_appearances:4
藏身之处, number_of_appearances:2
抗敌, number_of_appearances:1
高处, number_of_appearances:1
迎战, number_of_appearances:3
单打独斗, number_of_appearances:1
一哄而上, number_of_appearances:1
干掉, number_of_appearances:1
迎接, number_of_appearances:3
命运, number_of_appearances:2
机械, number_of_appearances:12
机器人, number_of_appearances:2
一点红, number_of_appearances:1
差点, number_of_appearances:20
细长, number_of_appearances:2
小太阳, number_of_appearances:1
躯干, number_of_appearances:4
圆柱体, number_of_appearances:1
呈, number_of_appearances:4
银白色, number_of_appearances:1
周长, number_of_appearances:1
关节, number_of_appearances:2
大张, number_of_appearances:2
看不清, number_of_appearances:4
红眼, number_of_appearances:1
视觉, number_of_appearances:1
功能, number_of_appearances:2
快速, number_of_appearances:11
射出, number_of_appearances:3
照着, number_of_appearances:3
写成, number_of_appearances:1
特意, number_of_appearances:1
本质, number_of_appearances:1
邪门, number_of_appearances:1
监视器, number_of_appearances:1
到此, number_of_appearances:2
创造者, number_of_appearances:36
设备, number_of_appearances:1
肺, number_of_appearances:3
氧气, number_of_appearances:3
狠狠, number_of_appearances:7
勒, number_of_appearances:2
不已, number_of_appearances:4
模仿, number_of_appearances:1
瘫软, number_of_appearances:1
躲过, number_of_appearances:1
劫, number_of_appearances:1
在下方, number_of_appearances:1
那时, number_of_appearances:5
安全, number_of_appearances:13
产物, number_of_appearances:2
走边, number_of_appearances:1
咔嗒咔嗒, number_of_appearances:4
鼻涕虫, number_of_appearances:1
稀疏, number_of_appearances:1
分布, number_of_appearances:1
毛发, number_of_appearances:3
发亮, number_of_appearances:3
黏液, number_of_appearances:7
异地, number_of_appearances:1
抖动, number_of_appearances:2
尾, number_of_appearances:1
从头到尾, number_of_appearances:2
钉, number_of_appearances:5
球状, number_of_appearances:1
突兀, number_of_appearances:1
缩成, number_of_appearances:1
球, number_of_appearances:2
翻滚, number_of_appearances:9
整顿, number_of_appearances:1
内部, number_of_appearances:2
零件, number_of_appearances:1
缩回, number_of_appearances:3
里长, number_of_appearances:1
安放, number_of_appearances:1
功用, number_of_appearances:1
各, number_of_appearances:2
强光, number_of_appearances:1
电筒, number_of_appearances:3
长着, number_of_appearances:2
三根, number_of_appearances:1
指头, number_of_appearances:1
脚爪, number_of_appearances:1
时而, number_of_appearances:5
合起, number_of_appearances:1
折叠, number_of_appearances:1
以免, number_of_appearances:1
制造, number_of_appearances:1
总算, number_of_appearances:2
电锯, number_of_appearances:1
高速, number_of_appearances:1
制成, number_of_appearances:1
脊背, number_of_appearances:2
凉, number_of_appearances:2
莫过于, number_of_appearances:1
战场, number_of_appearances:1
之人, number_of_appearances:1
哀号, number_of_appearances:8
再怎么, number_of_appearances:1
梦, number_of_appearances:2
丑恶, number_of_appearances:3
大石头, number_of_appearances:3
暴露, number_of_appearances:1
呼呼地, number_of_appearances:1
忙着, number_of_appearances:4
伸开, number_of_appearances:1
四面八方, number_of_appearances:8
星球, number_of_appearances:2
生命迹象, number_of_appearances:1
阴沉, number_of_appearances:3
冰封, number_of_appearances:1
大脑, number_of_appearances:17
幼年, number_of_appearances:1
小时候, number_of_appearances:1
逃, number_of_appearances:6
爸妈, number_of_appearances:2
找寻, number_of_appearances:2
刺鼻, number_of_appearances:1
造, number_of_appearances:2
猎杀, number_of_appearances:1
屏气凝神, number_of_appearances:1
一刻不停, number_of_appearances:2
在下面, number_of_appearances:1
墙角, number_of_appearances:5
正下方, number_of_appearances:2
泄露, number_of_appearances:1
光柱, number_of_appearances:2
扫射, number_of_appearances:3
预兆, number_of_appearances:1
没了, number_of_appearances:14
关掉, number_of_appearances:2
瞎子, number_of_appearances:1
急需, number_of_appearances:2
闻到, number_of_appearances:2
浸透, number_of_appearances:1
下一步, number_of_appearances:1
失常, number_of_appearances:3
强韧, number_of_appearances:1
知觉, number_of_appearances:3
简直, number_of_appearances:11
老巢, number_of_appearances:2
一瞬间, number_of_appearances:5
破碎, number_of_appearances:4
飞得, number_of_appearances:1
稳固, number_of_appearances:1
逃命, number_of_appearances:2
对不住, number_of_appearances:1
左手, number_of_appearances:5
蔓, number_of_appearances:1
想着, number_of_appearances:8
踏, number_of_appearances:1
速速, number_of_appearances:1
送死, number_of_appearances:4
这根, number_of_appearances:1
路程, number_of_appearances:4
动作, number_of_appearances:8
加快, number_of_appearances:6
中途, number_of_appearances:1
实, number_of_appearances:1
善于, number_of_appearances:1
爬树, number_of_appearances:1
猴子, number_of_appearances:1
追捕, number_of_appearances:2
岩石, number_of_appearances:3
调整, number_of_appearances:2
靠谱, number_of_appearances:1
使出, number_of_appearances:5
脚蹬, number_of_appearances:1
远离, number_of_appearances:7
怪物, number_of_appearances:1
其实, number_of_appearances:13
无须, number_of_appearances:3
只需, number_of_appearances:2
音, number_of_appearances:1
赶上, number_of_appearances:4
加紧, number_of_appearances:2
下滑, number_of_appearances:5
蹭, number_of_appearances:1
下一次, number_of_appearances:1
如法炮制, number_of_appearances:1
次之, number_of_appearances:1
破, number_of_appearances:1
急剧, number_of_appearances:2
分泌, number_of_appearances:1
堵, number_of_appearances:4
横, number_of_appearances:4
拐, number_of_appearances:9
出路, number_of_appearances:3
手臂, number_of_appearances:6
乱抓, number_of_appearances:1
与此同时, number_of_appearances:2
眼角, number_of_appearances:2
余光, number_of_appearances:1
瞥见, number_of_appearances:3
爪子, number_of_appearances:6
咄咄逼人, number_of_appearances:2
千钧一发, number_of_appearances:1
之际, number_of_appearances:1
惯性, number_of_appearances:3
脱臼, number_of_appearances:1
张牙舞爪, number_of_appearances:1
空, number_of_appearances:9
裂痕, number_of_appearances:2
胜利, number_of_appearances:6
收紧, number_of_appearances:4
借着, number_of_appearances:1
反作用力, number_of_appearances:1
堆, number_of_appearances:7
利爪, number_of_appearances:7
背部, number_of_appearances:1
划, number_of_appearances:2
恰到好处, number_of_appearances:1
无暇, number_of_appearances:2
痛感, number_of_appearances:3
撞击声, number_of_appearances:4
独有, number_of_appearances:1
争分夺秒, number_of_appearances:1
拼, number_of_appearances:5
尽, number_of_appearances:10
全力, number_of_appearances:8
记住, number_of_appearances:5
路线, number_of_appearances:6
原, number_of_appearances:2
两次, number_of_appearances:3
长廊, number_of_appearances:1
追击, number_of_appearances:2
变小, number_of_appearances:3
输, number_of_appearances:2
奋力, number_of_appearances:3
输送, number_of_appearances:1
轻松, number_of_appearances:8
战死, number_of_appearances:1
一了百了, number_of_appearances:1
前所, number_of_appearances:1
刹住, number_of_appearances:2
自抑, number_of_appearances:2
三头, number_of_appearances:3
停用, number_of_appearances:1
刺刺, number_of_appearances:1
完蛋, number_of_appearances:1
落到, number_of_appearances:4
团团围住, number_of_appearances:1
回味, number_of_appearances:1
满满, number_of_appearances:3
拼死, number_of_appearances:1
一战, number_of_appearances:2
一对, number_of_appearances:3
舞, number_of_appearances:1
大胆, number_of_appearances:3
鼓起勇气, number_of_appearances:2
穿透, number_of_appearances:6
架, number_of_appearances:3
气势, number_of_appearances:1
一个劲儿, number_of_appearances:5
左脚, number_of_appearances:2
冲力, number_of_appearances:1
擦身而过, number_of_appearances:1
